0x80487dcL,0x8048812L,ecx,x != -1
0x804882dL,0x804882dL,eax,x != -1
0x8048842L,0x8048842L,eax,x != -1
0x8048857L,0x8048857L,eax,x != -1
0x804886cL,0x804886cL,eax,x != -1
0x8048881L,0x8048881L,eax,x != -1
0x8048896L,0x8048896L,eax,x != -1
0x80488abL,0x80488abL,eax,x != -1
0x80488c0L,0x80488c0L,eax,x != -1
0x80488d5L,0x80488d5L,eax,x != -1
0x80488eaL,0x80488eaL,eax,x != -1
0x80488ffL,0x80488ffL,eax,x != -1
0x8048914L,0x8048914L,eax,x != -1
0x8048929L,0x8048929L,eax,x != -1
0x804893eL,0x804893eL,eax,x != -1
0x8048953L,0x8048953L,eax,x != -1
0x8048968L,0x8048968L,eax,x != -1
0x804897dL,0x804897dL,eax,x != -1
0x8048992L,0x8048992L,eax,x != -1
0x80489a7L,0x80489a7L,eax,x != -1
0x80489bcL,0x80489bcL,eax,x != -1
0x80489d1L,0x80489d1L,eax,x != -1
0x80489e6L,0x80489e6L,eax,x != -1
0x80489fbL,0x80489fbL,eax,x != -1
0x8048a10L,0x8048a10L,eax,x != -1
0x8048a25L,0x8048a25L,eax,x != -1
0x8048a3aL,0x8048a3aL,eax,x != -1
0x8048a4fL,0x8048a4fL,eax,x != -1
0x8048a64L,0x8048a64L,eax,x != -1
0x8048a79L,0x8048a79L,eax,x != -1
0x8048a8eL,0x8048a8eL,eax,x != -1
0x8048aa3L,0x8048aa3L,eax,x != -1
0x8048ab8L,0x8048ab8L,eax,x != -1
0x8048acdL,0x8048acdL,eax,x != -1
0x8048ae2L,0x8048ae2L,eax,x != -1
0x8048af7L,0x8048af7L,eax,x == 2
0x8048b0cL,0x8048b0cL,eax,x != -1
0x8048b21L,0x8048b21L,eax,x != -1
0x8048b36L,0x8048b36L,eax,x != -1
0x8048b4bL,0x8048b4bL,eax,x != -1
0x8048b60L,0x8048b60L,eax,x != -1
0x8048b75L,0x8048b75L,eax,x != -1
0x8048b8aL,0x8048b8aL,eax,x != -1
0x8048b9fL,0x8048b9fL,eax,x != -1
0x8048bb4L,0x8048bb4L,eax,x != -1
0x8048bc9L,0x8048bc9L,eax,x != -1
0x8048bdeL,0x8048bdeL,eax,x != -1
0x8048bf3L,0x8048bf3L,eax,x != -1
0x8048c08L,0x8048c08L,eax,x != -1
0x8048c1dL,0x8048c1dL,eax,x != -1
0x8048c32L,0x8048c32L,eax,x != -1
0x8048c47L,0x8048c47L,eax,x != -1
0x8048c5cL,0x8048c5cL,eax,x != -1
0x8048c71L,0x8048c71L,eax,x != -1
0x8048c86L,0x8048c86L,eax,x != -1
0x8048c9bL,0x8048c9bL,eax,x != -1
0x8048cb0L,0x8048cb0L,eax,x != -1
0x8048cc5L,0x8048cc5L,eax,x != -1
0x8048cdaL,0x8048cdaL,eax,x != -1
0x8048cefL,0x8048cefL,eax,x != -1
0x8048d04L,0x8048d04L,eax,x != -1
0x8048d19L,0x8048d19L,eax,x != -1
0x8048d2eL,0x8048d2eL,eax,x != -1
0x8048d43L,0x8048d43L,eax,x != -1
0x8048d58L,0x8048d58L,eax,x != -1
0x8048d6dL,0x8048d6dL,eax,x != -1
0x8048d82L,0x8048d82L,eax,x != -1
0x8048d97L,0x8048d97L,eax,x == 1
0x8048dacL,0x8048dacL,eax,x != -1
0x8048dc1L,0x8048dc1L,eax,x != -1
0x8048dd6L,0x8048dd6L,eax,x != -1
0x8048debL,0x8048debL,eax,x != -1
0x8048e00L,0x8048e00L,eax,x != -1
0x8048e15L,0x8048e15L,eax,x != -1
0x8048e2aL,0x8048e2aL,eax,x != -1
0x8048e3fL,0x8048e3fL,eax,x != -1
0x8048e54L,0x8048e54L,eax,x != -1
0x8048e69L,0x8048e69L,eax,x != -1
0x8048e7eL,0x8048e7eL,eax,x != -1
0x80492c0L,0x80492f6L,ecx,x != -1
0x8049311L,0x8049311L,eax,x != -1
0x8049326L,0x8049326L,eax,x != -1
0x8048f08L,0x8048f3bL,eax,x >= 0
0x804933bL,0x804933bL,eax,x != -1
0x8048f50L,0x8048f50L,eax,x >= 0
0x8049350L,0x8049350L,eax,x != -1
0x8048fd5L,0x8049008L,eax,x >= 0
0x804901dL,0x804901dL,eax,x >= 0
0x80491e8L,0x804921eL,eax,x >= 0
0x8049233L,0x8049233L,eax,x >= 0
0x8049065L,0x80490afL,edx,x >= 0
0x80490c7L,0x80490c7L,eax,x >= 0
0x80490dcL,0x80490f0L,eax,x >= -1
0x804910fL,0x8049167L,ecx,x >= -1
0x804965dL,0x804965dL,ecx,x != -1
0x8049676L,0x8049676L,eax,x >= 0
0x8049489L,0x80494a6L,edx,x > -1
0x804968bL,0x804968bL,eax,x != -1
0x80494beL,0x80494beL,eax,x >= 0
0x80494d3L,0x80494d3L,eax,x >= 0
0x804950cL,0x804950cL,eax,x > -1
0x804956dL,0x804956dL,eax,x > -1
0x8049535L,0x8049535L,eax,x >= 1
0x8049604L,0x8049604L,eax,x >= 1
0x8049592L,0x8049592L,eax,x > -1
0x8049624L,0x8049624L,ecx,x == 1
0x80495c4L,0x80495c4L,eax,x > -1
